Transaction Date,Post Date,Description,Category,Type,Amount
03/07/2020,03/09/2020,PRESIDIO MARKET,Groceries,Sale,-12.28
03/08/2020,03/09/2020,TRADER JOE'S #059  QPS,Groceries,Sale,-56.14
03/08/2020,03/09/2020,TARGET        00028720,Shopping,Sale,-8.38
03/07/2020,03/09/2020,82802 - GLENDALE ENFORCEM,Travel,Sale,-1.50
03/08/2020,03/09/2020,COSTCO WHSE #0474,Shopping,Sale,-77.63
03/07/2020,03/08/2020,GEICO  *AUTO,Bills & Utilities,Sale,-97.31
03/07/2020,03/08/2020,SQ *SHAKE SHACK,Food & Drink,Sale,-25.59
03/04/2020,03/06/2020,CITY OF SB PARKING,Automotive,Sale,-12.00
03/05/2020,03/06/2020,TST* SAVOY CAFE &amp; DELI,Food & Drink,Sale,-10.88
03/01/2020,03/03/2020,ABM ONSITE WESTFIELD MALL,Travel,Sale,-4.00
03/01/2020,03/03/2020,DIN TAI FUNG CENTURY CITY,Food & Drink,Sale,-107.10
03/01/2020,03/02/2020,AUTO FUELS  INC.,Gas,Sale,-34.00
02/29/2020,03/02/2020,350 STAR MARKET,Gas,Sale,-29.00
03/02/2020,03/02/2020,PAYPAL *HULU,Bills & Utilities,Sale,-1.99
02/29/2020,03/01/2020,JOSHUA TREE-WEST ES,Bills & Utilities,Sale,-30.00
02/27/2020,02/28/2020,CORAZON COCINA,Food & Drink,Sale,-9.90
02/26/2020,02/28/2020,CITY OF SB PARKING,Automotive,Sale,-12.00
02/26/2020,02/27/2020,PAYPAL *DOUBLEHEADL,Groceries,Sale,-220.00
02/25/2020,02/26/2020,APPLE.COM/BILL,Shopping,Sale,-0.99
02/24/2020,02/25/2020,LYFT   *RIDE SAT 10PM,Travel,Sale,-6.91
02/23/2020,02/25/2020,SANTA BARBARA GAS,Gas,Sale,-34.46
02/24/2020,02/24/2020,Offer:Airbnb,Fees & Adjustments,Adjustment,14.99
02/23/2020,02/24/2020,COSTCO WHSE #0474,Shopping,Sale,-138.92
02/23/2020,02/24/2020,COSTCO WHSE #0474,Shopping,Return,21.54
02/23/2020,02/24/2020,SQ *DESTINED FOR GRACE TH,Shopping,Sale,-8.59
02/21/2020,02/23/2020,TIX* WASHED OUT (DJ SE,Entertainment,Sale,-18.84
02/21/2020,02/23/2020,TRADER JOE'S #183  QPS,Groceries,Sale,-43.72
02/18/2020,02/20/2020,South Coast Deli - Carril,Food & Drink,Sale,-12.68
02/17/2020,02/18/2020,AMZN Mktp US*QO1PZ8E73,Shopping,Sale,-65.07
02/18/2020,02/18/2020,AIRBNB  HMMYXY9RKN,Travel,Sale,-299.75
02/17/2020,02/18/2020,TRADER JOE'S #059  QPS,Groceries,Sale,-56.19
02/16/2020,02/18/2020,IN N OUT BURGER 108,Food & Drink,Sale,-7.76
02/15/2020,02/17/2020,SANTA BARBARA GAS,Gas,Sale,-28.26
02/16/2020,02/17/2020,RALPHS 0680,Groceries,Sale,-21.45
02/16/2020,02/17/2020,COX SANTA BARB COMM,Bills & Utilities,Sale,-51.64
02/16/2020,02/17/2020,TRADER JOE'S #059  QPS,Groceries,Sale,-14.59
02/16/2020,02/17/2020,LYFT   *RIDE SAT 9PM,Travel,Sale,-11.20
02/16/2020,02/17/2020,LYFT   *RIDE SAT 8PM,Travel,Sale,-10.59
02/14/2020,02/16/2020,RALPHS 0680,Groceries,Sale,-10.47
02/14/2020,02/16/2020,ALBERTSONS 0354,Groceries,Sale,-2.99
02/13/2020,02/16/2020,SHALHOOB MEAT CO,Food & Drink,Sale,-13.42
